Term,Frequency
like,993
look,850
people,789
beauty,699
standard,552
skin,525
body,385
woman,385
surgery,384
beautiful,364
even,336
video,316
make,315
girl,306
love,291
face,290
really,284
asian,282
want,278
know,258
much,250
plastic,249
❤,243
korean,241
never,235
see,234
way,227
😂,226
thing,226
always,221
idol,221
say,215
time,215
dont,214
weight,209
kpop,207
need,203
white,198
men,191
still,190
eye,189
good,181
pretty,176
fat,174
many,165
skinny,161
life,160
year,157
healthy,156
everyone,156
nose,154
someone,151
lot,147
well,143
got,137
looking,136
better,135
person,131
ugly,129
natural,126
hair,125
day,122
actually,122
korea,120
guy,118
take,117
country,115
different,113
bad,112
work,112
hate,111
indian,110
use,109
world,109
said,107
made,107
big,107
️,106
attractive,106
real,106
could,105
filter,103
that's,102
mean,101
back,101
fit,100
every,100
going,100
getting,99
lol,97
sad,97
something,97
medium,97
perfect,97
black,96
…,96
makeup,96
care,96
find,95
problem,95
used,94
come,93
culture,93
others,92
change,91
kid,91
self,91
long,89
society,89
right,87
young,86
i've,85
without,85
nothing,85
k-pop,85
since,84
thats,84
ever,83
show,82
point,81
around,81
stop,81
man,81
please,81
feature,81
social,81
anyone,80
comment,80
dark,80
put,80
fair,79
fan,79
doe,79
can't,78
wrong,78
saying,78
done,78
hard,77
literally,76
first,76
pale,75
friend,75
child,75
thin,75
thought,74
tell,74
whole,73
keep,73
china,73
south,73
industry,73
enough,72
american,71
toxic,71
eating,71
help,70
old,70
god,69
india,69
chinese,69
looked,68
seen,68
small,68
sullyoon,68
normal,67
weird,67
though,67
etc,67
matter,66
little,66
remember,66
job,66
😭,66
eat,66
end,65
called,65
money,65
picture,64
naturally,64
already,64
health,64
honestly,63
cause,63
unhealthy,63
human,63
best,63
understand,63
making,63
appearance,62
anything,62
family,62
age,62
great,62
issue,62
happy,61
told,61
else,61
fact,61
part,61
started,61
trying,60
give,60
reason,59
bit,59
nice,59
ive,59
cant,59
wanted,58
live,57
born,57
insecure,57
less,57
eyelid,57
mirror,57
considered,56
type,56
let,56
japanese,56
opinion,56
color,55
tan,55
head,55
school,55
double,55
everything,55
photo,55
especially,54
😅,54
light,53
tone,53
crazy,53
asia,52
kind,52
believe,51
try,51
worse,51
doesnt,51
🦆,51
mom,50
agree,49
start,49
😢,48
💀,48
trend,48
v,48
true,47
yes,47
talking,47
shes,47
image,47
youre,47
group,47
talk,46
western,46
become,46
wanna,46
sure,46
new,46
fine,46
music,46
sometimes,45
older,45
parent,45
japan,45
high,45
ideal,45
least,45
far,45
cosmetic,44
food,44
surgeon,44
east,43
wish,43
due,43
lose,43
almost,43
ok,43
brown,42
oh,42
model,42
disorder,42
maybe,42
lip,42
they're,42
wear,41
saw,41
mind,41
may,41
lady,41
away,41
female,41
side,41
class,41
darker,40
hope,40
content,40
sun,40
sorry,40
reality,40
company,40
gain,40
felt,40
watch,40
fake,40
watching,39
truly,39
pressure,39
product,39
straight,39
diet,39
course,39
shape,39
stupid,38
often,38
wow,38
stuff,38
completely,38
super,38
call,38
idea,37
ppl,37
case,37
might,37
west,37
another,37
theyre,37
e,37
bahiyyih,37
imagine,36
place,36
instead,36
tanned,36
male,36
fun,36
size,36
unrealistic,36
shaming,36
ago,35
question,35
omg,35
prefer,35
boy,35
thanks,35
similar,35
insecurity,35
gonna,35
celebrity,35
anymore,35
movie,35
colour,34
either,34
outside,34
);,34
probably,34
amount,34
isnt,34
two,33
funny,33
inside,33
half,33
european,33
important,33
height,33
wonyoung,33
mother,33
teeth,33
absolutely,33
camera,33
didnt,33
rather,33
accept,33
guess,32
poor,32
basically,32
😊,32
low,32
glad,32
month,32
gen,32
muscle,32
obsessed,31
bro,31
mental,31
baby,31
yeah,31
america,31
okay,31
id,31
working,31
seeing,31
yet,31
younger,31
learn,31
quite,30
hurt,30
kinda,30
feeling,30
interesting,30
lost,30
certain,30
extreme,30
personally,30
hear,30
last,29
brain,29
whatever,29
telling,29
truth,29
compare,29
listen,29
must,29
went,29
example,29
based,29
cute,29
confidence,29
there's,29
generation,29
garam,29
lmao,28
wonder,28
stay,28
middle,28
average,28
realize,28
found,28
came,28
🤮,28
<b>,28
</b>,28
add,27
support,27
lie,27
choice,27
short,27
overweight,27
strong,27
hand,27
gorgeous,27
worst,27
acne,27
daughter,27
personality,27
focus,27
bc,27
dr,27
state,27
respect,26
clear,26
alone,26
yall,26
dude,26
changed,26
idk,26
noticed,26
extremely,26
fucking,26
general,26
took,26
winter,26
ai,25
appreciate,25
mostly,25
hell,25
tho,25
butt,25
using,25
member,25
level,25
able,25
damn,25
meet,25
follow,25
became,25
set,25
physical,25
jaw,25
tall,25
🤣,25
talent,25
hour,24
seems,24
sense,24
sound,24
n,24
supposed,24
k,24
however,24
grew,24
achieve,24
actor,24
stopped,24
huge,24
totally,24
de,24
story,24
p,24
map,24
blue,23
free,23
knew,23
wtf,23
cannot,23
shit,23
slim,23
insane,23
tried,23
amazing,23
hip,23
attention,23
botox,23
line,23
ed,23
weigh,23
obese,23
flat,23
turn,23
leave,23
wanting,22
word,22
second,22
rich,22
😮,22
unique,22
growing,22
heart,22
power,22
doctor,22
usually,22
compared,22
pay,22
i'd,22
hit,22
esteem,22
somi,22
race,21
lighter,21
honest,21
😍,21
doll,21
shouldnt,21
sick,21
kg,21
clothes,21
liked,21
fall,21
facial,21
popular,21
