Video Title,Channel,Published Date,Description,Video ID,Comment Author,Comment,Subscriber Count,Total Views,Topics Frequently Covered
Thank you very much to everyone who took part in the survey! ❤️,TIRTIR Global,2024-01-22T02:15:05Z,Thank you very much to everyone who took part in the survey! ❤️ The latest collection of shades has just been released!,Szj_yVXXwzU,,,23800,9086601,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@MissDarcei,"Get the TIRTIR foundation on Amazon! <a href=""https://www.amazon.com/stores/page/99F77C1E-28FF-4806-A3BD-F837A71431BA"">https://www.amazon.com/stores/page/99F77C1E-28FF-4806-A3BD-F837A71431BA</a>",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@GApeech08,A little dark but nothing a little highlighting cant fix.,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@jaxonpeverell,"Loving the fact that you aren’t hating on them for not having a big shade range, just encouraging them to expand and being happy when they did. ❤",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@chenprice4721,Bro thats better for darker skinned people! Thanks a lot TirTir!,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@potassiumming04,Finally a Korean company who aren’t racist 😂 I hope more koreans follow,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@ellenpittman4979,my brain hurts the fact that when finished the make up her voice changed,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Cute_KellytheOGbanana,They need to come out with a newer one because I’m even darker than you 😭,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@UQvQU,だんだんテンション上がってきてるの可愛すぎる😂❤,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@AaradhyaThotteKattil,You are so beautiful girl,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@GabiButkiewicz,I hope ur happy,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@kajetansydow,THATS LITERALLY PERFECT,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@faheemhammad695,Did they swatch me in my sleep?😅got me rolling down😂😂😂😂,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@gahong2978,Korean YouTubers are taking your videos,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@connielam2420,AHHHHH UR SOOOOOOO BEAUTIFUL 😍,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@kyungminins,저 회사 흑인 언니가 자기 피부톤에 맞는거만들어 달라했더니 파운데이션만 30개 만들어 버린회사임. 그것도 색상 다양하게 아주 밝은것부터 어두운것까지. 완전 쉐딩 수준의 파테 까지 만듬,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@QueenofWheels,Why would a brand in Korea need a dark shade?,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Aridilla_ATE-g5n,“Did they swatch me in my sleep?” Got me I’m dying.,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@GiannaPalmisano-b6y,They called me 😂💀,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@afghan762,Darker pls,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@cleonabautista6981,Yaaaaaaaasssss good girlyyyyyyyyyy I love your videos so much,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Frankies_Furbabies,&quot;Did that swatch me IN MY SLEEP?&quot; Lol,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@kathrynscown5626,Aw I’m so happy that your happy😊,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Iluvkazehaya,“ CALL ME” <br>“ they called me”,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Goawayplease_15,‘Did they SwAAtch me in my sleep?.’<br>😭😭,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@FamilyUrbina-q8y,&quot;did they swatch me in my sleep&quot;😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@ОльгаВерняева-я1ж,"Девочки, не обльщайтесь, обратите внимание на области покрытия этим средством и отчётливо видно границы фотошопа, а так же блюр в области корней волос, в конце ролика, это к сожалению всего лишь проплаченная реклама🤥",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@bizzy7181,Good for you girl.,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Qwerkywoop,43N means 43 ni,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@chaimaeidrissijanati1352,the &#39; HeHE &#39;,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@sarib985,Looking beautiful ❤❤,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@AyeshaMalan-i6d,I am literally obsessed with your laugh 😅,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@luanagomes7876,I love it😮,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Kait_lax,They called meh😂,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@은경-s8o,커버력 무엇,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@leanchinGolosino,gurl its my first time watching you&#39;re video and i like your personality your accent that made me subscribe your YT ❤❤,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@EsmesChannel-x6v,I’m the third darkest shade😢😢😢,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@MeowMeow_KItty67,Stunnin 😍,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@herrykhaira1694,You look like a barbie,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@aleksandrajakovskaja3322,"вот это я понимаю борьба за права тёмных, чтобы и о них думали производители",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@itzyellow_cat4430,The first one the darkesst was ALMOSTT ur skintone,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@aungcoco9954,Beautiful,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@cher9626,Wtg to thr company for listening,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@lyoness6,"OK but, that barely touches the number of dark shades there should be.",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@thecrew2079,“it literally looks like im using a filter 👁️👄👁️”,3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@poppy_tank,"Oh my God, so pretty🎉❤😝 I’m obsessed",3520000,1734939401,"Diversity, Racial Inclusivity"
DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Tirtir Cushion Foundation: ...,YOLbmBYU-3E,@Xisahaa,Honestly the foundation looks good but I LOVE her natural skin,3520000,1734939401,"Diversity, Racial Inclusivity"
