platform,author,brand,comment,sentiment
YouTube_Western,@zachrully5672,fenty,i'm fenty,neutral
YouTube_Western,@User38344,fenty,people supporting fenty rihanna us child labour dig mica mine makeup company talk saving child africa 😂,positive
YouTube_Western,@ajmartinez5885,fenty,😘 fenty skin,neutral
YouTube_Western,@idkwhattodo888,fenty,im tan person although im black started using fenty foundation foundation shade skin tint definitely fav tho,positive
YouTube_Western,@tundrasome9409,fenty,aspiring mua koyvoca seems like great affordable alternative fenty,positive
YouTube_Western,@KalypsoVega,fenty,hard get mine yellow red undertone fenty beauty really cover either ...,positive
YouTube_Western,@kana1372,fenty,fenty cruelty free,negative
YouTube_Western,@fgh5858,fenty,fenty best doubt im middle eastern although im light skinned barley find foundation warm undertone usually wear yellow foundation suit skin shade cant compare fenty brand literally best brand sephora shade looking eyeliner stay night great gloss favorite brand meant yt people 😪,positive
YouTube_Western,@samaroz6603,fenty,also love fenty's shade name name number people espresso cinammon thing degrade people exotic food item color use number easier order control degrading,positive
YouTube_Western,@truebaronesse5653,fenty,fenty owned lvmh white owned company forgot mention inconvenient fact,negative
YouTube_Western,@madhumita4377,fenty,cannot afford fenty glad atleast catering u pocs give hope,positive
YouTube_Western,@xrystal89,fenty,brand like fenty became popular suddenly many beauty brand lot color palette guess finally realized money still green matter shade hand giving,positive
YouTube_Western,@sarajoanna1618,fenty,fool think fenty beauty empowerment including money,positive
YouTube_Western,@kumail4038,fenty,r p fenty,neutral
YouTube_Western,@haneyah917,fenty,everyone shade 🖐 🖐 🖐🏻 🖐🏻 🖐🏻 🖐🏻 🖐🏻 🖐🏼 🖐🏼 🖐🏾 🖐🏿 fenty 🖐 🖐 🖐🏻 🖐🏻 🖐🏻 🖐🏻 🖐🏼 🖐🏼 🖐🏼 🖐🏼 🖐🏽 🖐🏽 🖐🏼 🖐🏼 🖐🏼 🖐🏾 🖐🏾 🖐🏾 🖐🏾 🖐🏿 🖐🏿 🖐🏿 🖐🏿 🖐🏿 🖐🏿 🖐🏿 🖐🏿 🖐🏿,neutral
YouTube_Western,@_mahi_7107_,fenty,person color fenty best foundation match every shade,positive
YouTube_Western,@gnomo8943,fenty,aguante rihanna viva fenty,neutral
YouTube_Western,@MrHamster34,fenty,uhmm mac rcma make ever kryolan mehron ben nye graftobian professional brand wide range foundation year fenty give credit due,positive
YouTube_Western,@tiffanyd.flowersfuturefocu369,fenty,beginning #fenty ❤,neutral
YouTube_Western,@Im_in_love,fenty,ulta today considering buying hot chocolit thought skin light guess proven wrong 😅 really love shade fenty glow,positive
YouTube_Western,@swiftiesquirrel1989,fenty,love fenty shade look great everyone,positive
YouTube_Western,@amritharejisanthosh6254,fenty,fenty know they're people want 😏 😏 😏 🦄,positive
YouTube_Western,@baileyspeltbeefy1768,fenty,feel like problem end complexion spectrum … people dark end struggle greatly find foundation concealer perfectly match skin tone tone people pale end struggle greatly find foundation concealer perfectly match skin tone tone pale nearly impossible find something work perfectly come drug store even harder .. fenty first brand truly matched since makeup brand gotten better made something truly work pale skin many brand still dark right tone,positive
YouTube_Western,@nortondade5985,fenty,couple year ago decided try fenty concealer perfect always get go harvey nichols released skin tin loved tinted spf daily essential skin care also daily routine there something skin love,positive
YouTube_Western,@MissAlenkin,fenty,vampire pale shade foundation usually mix everything whitening drop thank fenty forcing brand make colour inclusive pallet hope people south asia africa european beauty company usually dont cater u agree world still perfect deffinetly getting better regard personally fenty foundation texture suitable although love concealer found match another brand inspired,positive
YouTube_Western,@chrisluminare3076,fenty,promoting fentynol ..,positive
YouTube_Western,@sharen219,fenty,fenty beauty goated,positive
YouTube_Western,@danielcrotty8697,fenty,want meeting ulta decided start carrying fenty accept ch nemesis brand store cant fun moment,positive
YouTube_Western,@aqua-mina,fenty,keep meaning get fenty foundation never got around dont makeup well,negative
YouTube_Western,@SouthernBelleReviews,fenty,one never bought owned anything fenty beauty fenty skin owned perfume rihanna never beauty,positive
YouTube_Western,@renatahonorato6895,fenty,fenty beauty changed market forever,positive
YouTube_Western,@user-mz9iy9py6m,fenty,rare sell way better fenty overtaken fenty sale year ..,positive
YouTube_Western,@EwMan-h8b,fenty,fenty beauty foundation gloss dont like either get oily sweaty easily way wear foundation slather kind moisturizer beforehand otherwise itll crack dry formula dry immediately touching skin make hard blend youd think would good thing oily skin nope good luck finding cheap setting spray make last foundation last maybe hour max ive tried different setting spray foundation make horrible best foundation combo oily skin macc already bought fenty cant afford buy new bottle im stuck oh shade ulta recommended make completely yellow 😢,positive
YouTube_Western,@karenndoro6383,fenty,fenty beauty everyone felt seen mean skin type,positive
YouTube_Western,@thaisgregorio2734,fenty,fenty's marking successful even someone like usually wear makeup leave house maximum week work home curious interested trying bought beautiful fenty heat gloss concealer pleasantly suprised mathched perfectly find hard find shade match light brown shade skin concealers usually look dark light even though fenty quite expansive country think worth,positive
YouTube_Western,@diopfifi4937,fenty,fenty beauty well,positive
YouTube_Western,@kashmirichai123,fenty,also mentioned fenty claim cruelty free yet us child slave mined mineral india,negative
YouTube_Western,@hannahshark8080,fenty,even fenty beauty fails people especially woman colour beauty industry huge alone thank rihanna ❤ ️,positive
YouTube_Western,@jonathanlatouche7013,fenty,fenty fenthy,neutral
YouTube_Western,@dizmop,fenty,saw clip called rise fall fenty,neutral
YouTube_Western,@ecenbt,fenty,i'm really make girlie sense love putting make playing color seldom time energy sifting plethora product fenty came huge range product message quality accessibility inclusivity kind brainer try see liked found product swear absolutely need look thing almost exclusively shop fenty easy know let term range quality think really knew create loyal customer life long customer,positive
YouTube_Western,@jojomargaux9295,fenty,yall fenty beauty laughed saw woman walk life uniting together laughing dancing living sharing story amazing promoting marketing fenty beauty definitely practiced 4ps marketing ❤ rihanna need get brand level like pat magraw brand rihanna doesnt dominate market foundation lip product real great shadow pallet staple makeup product get see careful better researching customer want stay around love ❤,positive
YouTube_Western,@Kelly-mi1yz,fenty,heard lipstick release great formula keep making color also watch lot beauty community little creator use fenty,positive
YouTube_Western,@sylviak6268,fenty,mac go wrong brand choice took switch fenty didnt mac lead way shade range inclusivity,negative
YouTube_Western,@halehydraa,fenty,someone rarely wear make really wish fenty would release like mini version foundation,positive
YouTube_Western,@lorifrederick2367,fenty,working sephora jcp hearing upcoming fenty launch thought oh great .. another celebrity makeup line snore well education launched totally gobsmacked range color undertone anything ever seen fulfilling able match foundation everyone even shade light medium pink undertone extremely hard get match sale roof many many happy customer definitely set bar brand seen many launch brand since still lack day age shade range rare beauty come close fenty beauty consistently launched excellent product lip gloss divine pry ease drop skintint powder foundation cold dead hand course many backup way go fenty beauty,positive
YouTube_Western,@MsAdri89,fenty,fenty available ulta genus ideal cost living keep going many u benefit ultas reward point system better sephora,positive
YouTube_Western,@fernandohlima_,fenty,rihanna genius way think impressive think fenty going still successful moving forward first good move come mind support feeling fact rihanna put known name brand put last name make little bit difficult people general connect everything good although association benefit brand also disconnection allow rihanna live life without people getting sick hearing name time second rihanna low-key lifestyle reveal much personal life public nowadays even know son's name hahaha sense kinda stay trouble image stay cool possible far music industry also plus matter give less space people criticize,positive
YouTube_Western,@sophroniel,fenty,wanted bad purchase dainty doll foundation unable source new zealand kind ironic fenty even go light enough pink enough skin tone despite press they've running since beginning saying cater skin tone white mixer would less critical foundation yellow mac's fenty first wide shade range biggest loudest,negative
YouTube_Western,@steeldrumheart601,fenty,allot company said created wider range skin tone follow fenty go store reverted selling specific shade like before.they still underestimate brown consumer that's loss,neutral
YouTube_Western,@lizday3067,fenty,mentioned risk losing luxury status think sophisticated still relatively affordable continues emphasis inclusivity luxury brand higher price point inherently exclusive purchased fenty product im excited see brand go,positive
YouTube_Western,@gjimjams,fenty,hated ketchup gloss thing hey like buy harm ... love fenty boot uk make accessible think brand image strong enough take association ... let's say great win boot 😜,positive
YouTube_Western,@zdoriksandorik,fenty,remember exactly fenty beauty dropped foundation shadesand right pale colour i'm person general shade ivory white always dark yellow remember pre-fenty impossible friend buy sort pale foundation really changed game,positive
YouTube_Western,@jhoover3098,fenty,watching video back back understitchs fenty fashion video everything rise rise beauty line many mistake fashion line great lesson building customer loyalty honestly video assigned business class well done 🏆 🏆 🏆,positive
YouTube_Western,@namjoonsgf41,fenty,i've watch video similar video topic fenty rise fall true 🥲 https://youtu.be/gclgdfutyci,positive
YouTube_Western,@societycrumbles,fenty,i've said say lot lack inclusvity makeup world fenty releasing shade foundation considered revolutionary,negative
YouTube_Western,@yahainHotPink,fenty,september official launch time fenty beauty guess alliance started,positive
YouTube_Western,@cherissetillman8973,fenty,try fenty wear makeup wanted try good brand,positive
