id,type,title,description,video_id,author,text
FkQBQ0yzKXY,video,korean makeup suck 🤔 ft tirtir cushion foundation #koreanmakeup #tirtir #cushionfoundation,,,,
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Zoe-q5g,tir tir first person try
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@lizard_dl4z,oooo slayyyy
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@kathyhugie9661,gay boy dont wear make 🤢 🤮
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@naliahenderson-hs2tm,actually girl first try since brand listen complaint made also got invited factory really first sorry 😢 😅
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@iseeyou6973,مقزز
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@lilasalazar5755,tur tur
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Khlolarynnn.,wasnt first try
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@alexanderh8129,swatch line nearest ur mouth practically invisible
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@LebanonOnTop313,trying 💀
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Echoria_therian,𝓘'𝓶 𝓳𝓾𝓼𝓽 𝓬𝓸𝓷𝓬𝓮𝓻𝓷𝓮𝓭 𝔀𝓱𝓮𝓷 𝓱𝓮 𝓼𝓪𝓲𝓭 𝓣𝓮𝓻𝓽𝓮𝓻
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@St3llaSt3rs,maybe cause they're korean people usually light hence name korean
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@CJALLENGES,ok amazing.but everyone say i'm first people tried cushion foundation i'm thinking 🤔 tried cushion foundation frist 🤨
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@LiyanaAmir-s6e,ermmm miss darci first hate ofc skin look great ❤
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@mirzahasan4758,sure
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@ritatola6049,guy need foundation
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@sadiegamer5536,saying “ ter ter ” bother badly
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@RowenStelling,tirtir tear tear
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@ermsigma_,hate people say korean foundation range suck actually go brand korean people literally white brand started korea n people made live korea korean people brown korean foundation meant korean people korea thats arent “ brown people friendly ” piss bad
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@RawrPoopolove123,one talking roblox face 😭
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@zayfizy7189,tirtir japan
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@anooparageesh4017,actually first one darcei
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@tacoss_number1_fan,
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Raytime-3,hoping didnt black face 😭 😭
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@AKY0660,13c general use sulwhasoo foundation 11c shade ， mac nw10 bobbi brown alabaster porcelain tried 17c turned orange face
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@MkS_sidhu,bro soo beautiful ❤ ️
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@AllisonMabe,ter ter
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@MandyMakesThat,korean men wear foundation
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@lillalii007,thing i'm fan look really greasy
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@rajalakshmi1121,check box
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@yamanshashaa,dont need
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@_ShiningStars_1,hate feel like waste instead trying shade couldve tried one think closest match given away rest going go waste
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Cyno_.,also customized super light shade different undertone people albinism
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@ArtComet0_0,“ korean foundation brand suck ” dont get ppl get pressed shade range unless foundation targeted towards ppl internationally outside korea.people understand korea pretty rare seeing people darker skin tone since citizen shade tan paler side would kind waste make independent shade foundation almost nobody going use
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Virgoqueen-n7x,im sorry tryna rude first person try
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Simplyyahh,roblox face 😭
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Its_onlyElla,sound like paxton never ever
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Kendall-m7v,jaw line
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Rose11133,said terter bout jump window find
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@JoseeNY,“ turtur ” 😭
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@EdensGarden15,youre youre second one
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@nayellyflores7081,someone explain apply foundation cause sponge n feel like take like forever blend still good enough n look lil cake end shift yes primed applying product someone tip im happy try 😅
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@tjourneay4,got foundation find shade amazing price also great
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@cutie_cattt_roses,bro go buy like macau dollar one usd im china macau macau youtube stuff dont ask
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Californiadreamin715,need tell shade online help
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@GracelynAjala,
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@yourlocalHPandPJOfan,already hear darcei's laugh
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Comebackhome-b8x,c match definitely
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Carmen-is-your-fan,bro terter 😂 hate try say right pls
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@angelpatel-fl7rq,think aylenpark tried first u
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@bryanreece8641,yeah dont need .. there reason wear .. skin already perfect .. guy look better bare skinned ..
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@gyuna.,yesss darciiiii
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@guien7492,vitiligo make people white basement dweller
FkQBQ0yzKXY_comment_unknown,comment,,,FkQBQ0yzKXY,@Evgt907,bro girl girl lol hate 😂 ❤
